"","Company","Product","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price_euros"
"320","Acer","TravelMate B","Notebook",11.6,"1366x768","Intel Pentium Quad Core N3710 1.6GHz","4GB","128GB Flash Storage","Intel HD Graphics 405","Windows 10","1.4kg",485
"321","HP","Elitebook 840","Notebook",14,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.48kg",1292
"322","Lenovo","IdeaPad 320-17IKB","Notebook",17.3,"1600x900","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows 10","2.79kg",589
"323","Asus","ZenBook UX410UA-GV183T","Notebook",14,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2kg",1094
"324","HP","ProBook 450","Notebook",15.6,"IPS Panel Full HD 1366x768","Intel Core i7 8550U 1.8GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows 10","2.1kg",902
"325","Acer","Aspire 5","Notebook",15.6,"1366x768","AMD A12-Series 9720P 2.7GHz","8GB","256GB SSD","AMD Radeon RX 540","Windows 10","2.2kg",659
"326","Lenovo","IdeaPad 120S-14IAP","Notebook",14,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.44kg",292
"327","Acer","Aspire E5-575","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","6GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.23kg",549
"328","Asus","VivoBook S15","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.7kg",1049.9
"329","HP","Elitebook 820","Ultrabook",12.5,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.26kg",1335
"330","Dell","XPS 15","Notebook",15.6,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","32GB","1TB SSD","Nvidia GeForce GTX 1050","Windows 10","2.06kg",2639
"331","MSI","GL72M 7REX","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.7kg",1199
"332","Toshiba","Satellite Pro","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.0kg",943
"333","Asus","UX510UX-CN269T (i7-7500U/8GB/256GB","Notebook",14,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD +  1TB HDD","Intel HD Graphics 620","Windows 10","2kg",1334
"334","Lenovo","V310-15ISK (i3-6006U/4GB/1TB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","1.85kg",449
"335","Asus","FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.5kg",999
"336","HP","EliteBook 840","Notebook",14,"Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.48kg",1268
"337","Dell","Inspiron 7570","Ultrabook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10","1.9kg",1049
"338","HP","Elitebook 850","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.84kg",1144
"339","Asus","X541NA (N3350/4GB/1TB/Linux)","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","Linux","2kg",274.99
"340","Dell","Inspiron 7570","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","2kg",1142.75
"341","Dell","Inspiron 3552","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","500GB HDD","Intel HD Graphics","Linux","2.2kg",274.9
"342","Lenovo","IdeaPad 320-15ABR","Notebook",15.6,"Full HD 1920x1080","AMD A12-Series 9720P 3.6GHz","12GB","2TB HDD","AMD Radeon 530","Windows 10","2.2kg",899
"343","HP","ProBook 450","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 930MX ","Windows 10","2.1kg",716
"344","Lenovo","Yoga 920-13IKB","2 in 1 Convertible",13.9,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.4kg",2099
"345","Dell","XPS 13","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.2kg",1579
"346","Lenovo","Legion Y520-15IKBN","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  2TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.4kg",1129
"347","HP","Stream 14-AX001nv","Notebook",14,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows 10","1.44kg",279
"348","Dell","Latitude 5590","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 8650U 1.9GHz","16GB","512GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows 10","1.88kg",1607.96
"349","Asus","VivoBook Flip","2 in 1 Convertible",11.6,"Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.5kg",375
"350","Dell","Inspiron 5570","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","AMD Radeon 530","Windows 10","1.9kg",663
"351","Dell","XPS 15","Notebook",15.6,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.06kg",2027.42
"352","HP","Elitebook 850","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.84kg",1304
"353","MSI","GP72MVR 7RFX","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.7kg",1409
"354","HP","Zbook 15","Workstation",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia Quadro M1200","Windows 10","2.6kg",1738.27
"355","Toshiba","Tecra A50-C-21G","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Nvidia GeForce 930M","Windows 10","2.4kg",1403
"356","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.02kg",970.9
"357","Lenovo","IdeaPad 320-15IAP","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","No OS","2.2kg",321.99
"358","Dell","Inspiron 7577","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.65kg",999
"359","Dell","Inspiron 3567","Notebook",15.6,"Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz","8GB","2TB HDD","Intel HD Graphics 620","Windows 10","2.36kg",557.37
"360","Dell","Latitude 7480","Notebook",14,"Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",1427
"361","HP","250 G6","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","1.86kg",439
"362","Asus","Zenbook UX410UA-GV027T","Notebook",14,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2kg",945
"363","Lenovo","IdeaPad 320-17IKB","Notebook",17.3,"1600x900","Intel Core i5 7200U 2.5GHz","6GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 940MX","Windows 10","2.8kg",719
"364","HP","250 G6","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.86kg",639
"365","Lenovo","IdeaPad 320-15ISK","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","8GB","256GB SSD","Nvidia GeForce 920MX ","No OS","2.2kg",499
"366","HP","15-AY023na (N3710/8GB/2TB/W10)","Notebook",15.6,"1366x768","Intel Pentium Quad Core N3710 1.6GHz","8GB","2TB HDD","Intel HD Graphics 405","Windows 10","2.04kg",389
"367","Dell","Inspiron 5770","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10","2.8kg",1085
"368","Lenovo","Legion Y520-15IKBN","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","No OS","2.4kg",809
"369","Dell","Inspiron 5567","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R7 M445","Windows 10","2.33kg",899
"370","HP","Elitebook 1040","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",1750
"371","Asus","ZenBook Flip","2 in 1 Convertible",15.6,"Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","12GB","512GB SSD +  2TB HDD","Nvidia GeForce GT 940MX","Windows 10","2.26kg",1099
"372","Acer","Aspire 3","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz","4GB","128GB SSD","AMD Radeon R5","Windows 10","2.1kg",426
"373","Asus","Rog Strix","Gaming",17.3,"IPS Panel Full HD 1920x1080","AMD Ryzen 1700 3GHz","16GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows 10","3.25kg",2199
"374","Lenovo","IdeaPad 110-17ACL","Notebook",17.3,"1600x900","AMD A8-Series 7410 2.2GHz","4GB","128GB SSD","AMD Radeon R5","Windows 10","2.6kg",489
"375","Dell","Inspiron 5379","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.62kg",869.01
"376","HP","15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","AMD A9-Series 9420 3GHz","4GB","256GB SSD","AMD Radeon R5","Windows 10","1.91kg",488.99
"377","Lenovo","Yoga 11e","Netbook",11.6,"IPS Panel 1366x768","Intel Celeron Quad Core N3450 1.1GHz","4GB","128GB SSD","Intel HD Graphics 500","Windows 10","1.59kg",553
"378","Dell","Inspiron 3552","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3060 1.60GHz","4GB","500GB HDD","Intel HD Graphics 400","Windows 10","1.8kg",309
"379","Asus","VivoBook E403NA","Notebook",14,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.5kg",286
"380","Acer","Aspire 7","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Linux","2.4kg",846
"381","HP","Omen 17-w212nv","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","3.35kg",1191
"382","Lenovo","V310-15ISK (i3-6006U/4GB/128GB/FHD/No","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","No OS","1.85kg",403.5
"383","Asus","ROG Strix","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.3kg",1655
"384","Lenovo","IdeaPad 720S-14IKB","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.5kg",1099
"385","Asus","Zenbook Flip","Ultrabook",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.1kg",1748.9
"386","Lenovo","Thinkpad X1","Ultrabook",14,"IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.13kg",2282
"387","Lenovo","Ideapad 510S-13IKB","Notebook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.5kg",549
"388","Dell","Precision 3510","Workstation",15.6,"Full HD 1920x1080","Intel Core i5 6440HQ 2.6GHz","8GB","500GB HDD","AMD FirePro W5130M","Windows 10","2.23kg",1369
"389","Dell","Precision 5520","Workstation",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HQ 2.7GHz","8GB","256GB SSD","Nvidia Quadro M1200","Windows 10","2kg",2135
"390","Lenovo","ThinkPad X1","2 in 1 Convertible",14,"Touchscreen 2560x1440","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.42kg",2509
"391","Asus","Rog GL753VD-GC042T","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","3kg",1039
"392","Asus","Rog GL753VE-GC070T","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","3kg",1591
"393","Acer","Aspire 5","Notebook",15.6,"IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz","12GB","1TB HDD","Nvidia GeForce MX130","Windows 10","2.2kg",693.99
"394","MSI","Leopard GP72M","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.7kg",1349
"395","Dell","Inspiron 5567","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R7 M445","Linux","2.33kg",778.87
"396","HP","15-BW004nv (A9-9420/4GB/256GB/Radeon","Ultrabook",15.6,"Full HD 1920x1080","AMD A9-Series 9420 3GHz","4GB","256GB SSD","AMD Radeon 520","Windows 10","1.91kg",499
"397","Lenovo","ThinkPad E580","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon RX 550","Windows 10","2.1kg",1229.56
"398","Lenovo","ThinkPad L470","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.9kg",938
"399","Dell","Precision M5520","Workstation",15.6,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia Quadro M1200","Windows 10","1.78kg",2712
"400","Lenovo","Thinkpad X1","Ultrabook",14,"IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz","16GB","1TB SSD","Intel HD Graphics 620","Windows 10","1.13kg",2625
"401","Lenovo","IdeaPad 320-15IAP","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","Windows 10","2.2kg",306
"402","Asus","FX753VD-GC461T (i7-7700HQ/16GB/1TB","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.9kg",1529
"403","Lenovo","ThinkPad E580","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD +  1TB HDD","AMD Radeon RX 550","Windows 10","2.1kg",1144.5
"404","Acer","Aspire 7","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Linux","2.5kg",879
"405","MSI","GE73VR 7RF","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","2.8kg",2249
"406","Asus","Zenbook 3","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.10kg",1873
"407","Toshiba","Portege Z30-C-16P","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.2kg",1747
"408","Dell","Latitude 7480","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 7600U 2.8GHz","8GB","512GB SSD","Intel HD Graphics","Windows 10","1.36kg",1680
"409","Lenovo","IdeaPad 320-15ISK","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.2kg",409
"410","Lenovo","Lenovo IdeaPad","Notebook",11.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","2GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.15kg",304.45
"411","Lenovo","ThinkPad P51","Workstation",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","512GB SSD","Nvidia Quadro M1200","Windows 10","2.67kg",1925
"412","Lenovo","Thinkpad T470p","Ultrabook",14,"IPS Panel Full HD 2560x1440","Intel Core i7 7700HQ 2.8GHz","8GB","512GB SSD","Nvidia GeForce GT 940MX","Windows 10","1.7kg",1943
"413","HP","15-BS028nv (i3-6006U/4GB/1TB/Radeon","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","AMD Radeon 520","Windows 10","2.1kg",469
"414","Acer","Aspire R7","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.6kg",789.01
"415","Asus","ZenBook Flip","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.27kg",928
"416","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","AMD Radeon R5 M430","Linux","2.3kg",598.9
"417","Dell","Latitude 3380","Notebook",13.3,"1366x768","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.65kg",689
"418","HP","EliteBook 1040","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.43kg",1500
"419","Dell","Inspiron 3567","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.14kg",539.95
"420","Lenovo","ThinkPad E480","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon RX 550","Windows 10","1.75kg",1215.38
"421","Lenovo","Yoga 720-15IKB","2 in 1 Convertible",15.6,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050","Windows 10","2kg",1899
"422","Chuwi","LapBook 12.3","Notebook",12.3,"IPS Panel Retina Display 2736x1824","Intel Celeron Quad Core N3450 1.1GHz","6GB","64GB Flash Storage","Intel HD Graphics 500","Windows 10","1.4kg",449
"423","HP","ProBook 650","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz","8GB","256GB SSD","Intel HD Graphics 630","Windows 10","2.31kg",1427
"424","Asus","X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 940MX","Linux","2.3kg",597
"425","Dell","Alienware 17","Gaming",17.3,"IPS Panel 2560x1440","Intel Core i7 7820HK 2.9GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","4.42kg",2799
"426","Dell","Inspiron 7577","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.62kg",1159
"427","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.02kg",1142.4
"428","Dell","Latitude 5480","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 7600U 2.8GHz","8GB","256GB SSD","Intel HD Graphics 620","Linux","1.6kg",1099
"429","HP","Omen 17-w207nv","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","3.35kg",1999
"430","Mediacom","FlexBook Edge","2 in 1 Convertible",11.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB SSD","Intel HD Graphics 500","Windows 10","1.16kg",299
"431","Samsung","Chromebook 3","Netbook",11.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","16GB Flash Storage","Intel HD Graphics 400","Chrome OS","1.15kg",269
"432","Lenovo","Thinkpad 13","Notebook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.4kg",1010
"433","Lenovo","IdeaPad 320s-14IKB","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.7kg",599
"434","Lenovo","Thinkpad T570","Workstation",15.6,"IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7600U 2.8GHz","16GB","512GB SSD","Nvidia GeForce 940MX","Windows 10","2.3kg",2445
"435","Lenovo","Thinkpad P51","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz","16GB","512GB SSD","Nvidia Quadro M2200M","Windows 10","2.5kg",2449
"436","Asus","Rog Strix","Gaming",17.3,"Full HD 1920x1080","AMD Ryzen 1600 3.2GHz","8GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows 10","3.2kg",1695
"437","HP","15-ra044nv (N3060/4GB/500GB/W10)","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","500GB HDD","Intel HD Graphics 400","Windows 10","2.1kg",347
"438","Google","Pixelbook (Core","Ultrabook",12.3,"Touchscreen 2400x1600","Intel Core i7 7Y75 1.3GHz","16GB","512GB SSD","Intel HD Graphics 615","Chrome OS","1.1kg",2199
"439","Lenovo","ThinkPad T470s","Ultrabook",14,"2560x1440","Intel Core i7 7500U 2.7GHz","24GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.32kg",2382
"440","Asus","VivoBook Max","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Linux","2kg",559
"441","Lenovo","IdeaPad 320-15AST","Notebook",17.3,"1600x900","AMD A6-Series 9220 2.5GHz","8GB","1TB HDD","AMD Radeon R4","Windows 10","2.8kg",519
"442","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",749
"443","Lenovo","ThinkPad X270","Ultrabook",12.5,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",1429
"444","Lenovo","IdeaPad 320-15IAP","Notebook",15.6,"Full HD 1920x1080","Intel Pentium Quad Core N4200 1.1GHz","4GB","128GB SSD","Intel HD Graphics 505","Windows 10","2.2kg",349
"445","HP","Omen 15-AX205na","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",1099
"446","Dell","Latitude 5480","Notebook",14,"Full HD 1920x1080","Intel Core i5 7440HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Windows 10","1.64kg",1179
"447","Acer","Aspire ES1-572","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Linux","2.4kg",441.8
"448","Dell","Precision 3520","Workstation",15.6,"Full HD 1920x1080","Intel Xeon E3-1505M V6 3GHz","8GB","64GB Flash Storage +  1TB HDD","Nvidia Quadro M620","Windows 10","2.23kg",1993
"449","MSI","GV62 7RD-1686NL","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",1027.74
"450","Microsoft","Surface Laptop","Ultrabook",13.5,"Touchscreen 2256x1504","Intel Core i7 7660U 2.5GHz","16GB","512GB SSD","Intel Iris Plus Graphics 640","Windows 10 S","1.25kg",2589
"451","HP","15-bs024nv (i5-7200U/8GB/128GB/W10)","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","8GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.91kg",589
"452","Dell","Precision 3520","Workstation",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HQ 2.7GHz","16GB","256GB SSD","Nvidia Quadro M620","Windows 10","2.17kg",1975
"453","HP","ProBook 650","Workstation",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","2.31kg",1534
"454","Lenovo","ThinkPad T470","Notebook",14,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.65kg",1345
"455","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10","2.36kg",979
"456","Dell","Inspiron 3168","2 in 1 Convertible",11.6,"Touchscreen 1366x768","Intel Pentium Quad Core N3710 1.6GHz","4GB","500GB HDD","Intel HD Graphics 405","Windows 10","1.47kg",479
