Company,Product,TypeName,Inches,Ram,Memory,OpSys,Weight_kg,Price_euros,LogPrice,Model,Inches_Binned,DisplayType,Touchscreen,IPS Panel,RetinaDisplay,ResolutionWidth,ResolutionHeight,ResolutionWidthCat,ResolutionPixels,CpuBrand,CpuProduct,CpuClockSpeed_GHz,Ram_GB,PrimaryMemory,SecondaryMemory,PrimaryMemSize,PrimaryMemType,Gpu_Brand,Gpu_Product
MSI,GL72M 7REX,Gaming,17.3,8GB,256GB SSD +  1TB HDD,Windows 10,2.7,1199.0,7.089243155027514,GL72M,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,256GB SSD +,1,256GB,SSD +,Nvidia,GeForce
Toshiba,Satellite Pro,Notebook,15.6,8GB,256GB SSD,Windows 10,2.0,943.0,6.849066282633458,Satellite,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,8GB,256GB SSD +  1TB HDD,Windows 10,2.0,1334.0,7.195937226475569,UX510UX-CN269T,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7500U,2.7,8,256GB SSD +,1,256GB,SSD +,Intel,HD
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,4GB,1TB HDD,Windows 10,1.85,449.0,6.107022887742254,V310-15ISK,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 6006U,2.0,4,1TB HDD,0,1TB,HDD,Intel,HD
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,8GB,256GB SSD,Windows 10,2.5,999.0,6.906754778648553,FX553VD-FY647T,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
HP,EliteBook 840,Notebook,14.0,8GB,256GB SSD,Windows 10,1.48,1268.0,7.145196134997171,EliteBook,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7300U,2.6,8,256GB SSD,0,256GB,SSD,Intel,HD
Dell,Inspiron 7570,Ultrabook,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,1.9,1049.0,6.955592608396297,Inspiron,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
HP,Elitebook 850,Notebook,15.6,8GB,256GB SSD,Windows 10,1.84,1144.0,7.042286171939743,Elitebook,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,4GB,1TB HDD,Linux,2.0,274.99,5.616734733369034,X541NA,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3350,1.1,4,1TB HDD,0,1TB,HDD,Intel,HD
Dell,Inspiron 7570,Notebook,15.6,8GB,256GB SSD,Windows 10,2.0,1142.75,7.041192917211854,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
Dell,Inspiron 3552,Notebook,15.6,4GB,500GB HDD,Linux,2.2,274.9,5.6164073951711995,Inspiron,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3060,1.6,4,500GB HDD,0,500GB,HDD,Intel,HD
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,12GB,2TB HDD,Windows 10,2.2,899.0,6.80128303447162,IdeaPad,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,AMD,A12-Series 9720P,3.6,12,2TB HDD,0,2TB,HDD,AMD,Radeon
HP,ProBook 450,Notebook,15.6,8GB,1TB HDD,Windows 10,2.1,716.0,6.573680166960646,ProBook,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i3 7100U,2.4,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,16GB,512GB SSD,Windows 10,1.4,2099.0,7.649216319820633,Yoga,3,4K Ultra HD  3840x2160,1,1,0,3840,2160,3840,15.931091146259982,Intel,Core i7 8550U,1.8,16,512GB SSD,0,512GB,SSD,Intel,UHD
Dell,XPS 13,Ultrabook,13.3,8GB,256GB SSD,Windows 10,1.2,1579.0,7.364547014255642,XPS,2,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,Intel,UHD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,16GB,256GB SSD +  2TB HDD,Windows 10,2.4,1129.0,7.029087564149662,Legion,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,16,256GB SSD +,1,256GB,SSD +,Nvidia,GeForce
HP,Stream 14-AX001nv,Notebook,14.0,2GB,32GB Flash Storage,Windows 10,1.44,279.0,5.631211781821365,Stream,3,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3060,1.6,2,32GB Flash Storage,0,32GB,Flash Storage,Intel,HD
Dell,Latitude 5590,Ultrabook,15.6,16GB,512GB SSD +  256GB SSD,Windows 10,1.88,1607.96,7.3827215738076175,Latitude,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8650U,1.9,16,512GB SSD +,1,512GB,SSD +,Intel,UHD
Asus,VivoBook Flip,2 in 1 Convertible,11.6,4GB,32GB Flash Storage,Windows 10,1.5,375.0,5.926926025970411,VivoBook,0,1366x768,1,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3350,1.1,4,32GB Flash Storage,0,32GB,Flash Storage,Intel,HD
Dell,Inspiron 5570,Ultrabook,15.6,8GB,1TB HDD,Windows 10,1.9,663.0,6.4967749901858625,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,1TB HDD,0,1TB,HDD,AMD,Radeon
Dell,XPS 15,Notebook,15.6,16GB,512GB SSD,Windows 10,2.06,2027.42,7.614519327751176,XPS,4,4K Ultra HD  3840x2160,1,0,0,3840,2160,3840,15.931091146259982,Intel,Core i7 7700HQ,2.8,16,512GB SSD,0,512GB,SSD,Nvidia,GeForce
HP,Elitebook 850,Notebook,15.6,8GB,256GB SSD,Windows 10,1.84,1304.0,7.173191742486598,Elitebook,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7500U,2.7,8,256GB SSD,0,256GB,SSD,Intel,HD
MSI,GP72MVR 7RFX,Gaming,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2.7,1409.0,7.25063551189868,GP72MVR,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
HP,Zbook 15,Workstation,15.6,8GB,256GB SSD,Windows 10,2.6,1738.27,7.46064564473776,Zbook,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,256GB SSD,0,256GB,SSD,Nvidia,Quadro
Toshiba,Tecra A50-C-21G,Notebook,15.6,16GB,512GB SSD,Windows 10,2.4,1403.0,7.246368080102461,Tecra,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 6500U,2.5,16,512GB SSD,0,512GB,SSD,Nvidia,GeForce
Dell,Inspiron 5570,Notebook,15.6,8GB,128GB SSD +  2TB HDD,Windows 10,2.02,970.9,6.878223476376099,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,128GB SSD +,1,128GB,SSD +,AMD,Radeon
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4GB,1TB HDD,No OS,2.2,321.99,5.774520489161542,IdeaPad,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3350,1.1,4,1TB HDD,0,1TB,HDD,Intel,HD
Dell,Inspiron 7577,Gaming,15.6,8GB,1TB HDD,Windows 10,2.65,999.0,6.906754778648553,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7300HQ,2.5,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Dell,Inspiron 3567,Notebook,15.6,8GB,2TB HDD,Windows 10,2.36,557.37,6.323229292286189,Inspiron,4,1366x768,1,0,0,1366,768,1366,13.863431773278407,Intel,Core i5 7200U,2.5,8,2TB HDD,0,2TB,HDD,Intel,HD
Dell,Latitude 7480,Notebook,14.0,8GB,256GB SSD,Windows 10,1.36,1427.0,7.2633296174768365,Latitude,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7300U,2.6,8,256GB SSD,0,256GB,SSD,Intel,HD
HP,250 G6,Notebook,15.6,4GB,500GB HDD,Windows 10,1.86,439.0,6.0844994130751715,250,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i3 6006U,2.0,4,500GB HDD,0,500GB,HDD,Intel,HD
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,8GB,256GB SSD,Windows 10,2.0,945.0,6.851184927493742,Zenbook,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,6GB,128GB SSD +  1TB HDD,Windows 10,2.8,719.0,6.577861357721046,IdeaPad,5,1600x900,0,0,0,1600,900,1600,14.180153671552183,Intel,Core i5 7200U,2.5,6,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
HP,250 G6,Notebook,15.6,8GB,1TB HDD,Windows 10,1.86,639.0,6.459904454377535,250,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,1TB HDD,0,1TB,HDD,Intel,HD
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8GB,256GB SSD,No OS,2.2,499.0,6.212606095751519,IdeaPad,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i3 6006U,2.0,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,8GB,2TB HDD,Windows 10,2.04,389.0,5.963579343618446,15-AY023na,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Pentium Quad Core N3710,1.6,8,2TB HDD,0,2TB,HDD,Intel,HD
Dell,Inspiron 5770,Notebook,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2.8,1085.0,6.989335265974559,Inspiron,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,128GB SSD +,1,128GB,SSD +,AMD,Radeon
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8GB,128GB SSD +  1TB HDD,No OS,2.4,809.0,6.695798917058491,Legion,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7300HQ,2.5,8,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
Dell,Inspiron 5567,Notebook,15.6,8GB,256GB SSD,Windows 10,2.33,899.0,6.80128303447162,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7500U,2.7,8,256GB SSD,0,256GB,SSD,AMD,Radeon
HP,Elitebook 1040,Ultrabook,14.0,8GB,256GB SSD,Windows 10,1.36,1750.0,7.4673710669175595,Elitebook,3,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7500U,2.7,8,256GB SSD,0,256GB,SSD,Intel,HD
Asus,ZenBook Flip,2 in 1 Convertible,15.6,12GB,512GB SSD +  2TB HDD,Windows 10,2.26,1099.0,7.002155954403621,ZenBook,4,Full HD  1920x1080,1,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7500U,2.7,12,512GB SSD +,1,512GB,SSD +,Nvidia,GeForce
Acer,Aspire 3,Notebook,15.6,4GB,128GB SSD,Windows 10,2.1,426.0,6.05443934626937,Aspire,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,AMD,A9-Series 9420,3.0,4,128GB SSD,0,128GB,SSD,AMD,Radeon
Asus,Rog Strix,Gaming,17.3,16GB,256GB SSD +  1TB HDD,Windows 10,3.25,2199.0,7.695757990554761,Rog,5,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,AMD,Ryzen 1700,3.0,16,256GB SSD +,1,256GB,SSD +,AMD,Radeon
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,4GB,128GB SSD,Windows 10,2.6,489.0,6.1923624894748714,IdeaPad,5,1600x900,0,0,0,1600,900,1600,14.180153671552183,AMD,A8-Series 7410,2.2,4,128GB SSD,0,128GB,SSD,AMD,Radeon
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8GB,256GB SSD,Windows 10,1.62,869.01,6.7673546326790435,Inspiron,2,Full HD  1920x1080,1,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,Intel,UHD
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,4GB,256GB SSD,Windows 10,1.91,488.99,6.192342039368019,15-bw003nv,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,AMD,A9-Series 9420,3.0,4,256GB SSD,0,256GB,SSD,AMD,Radeon
Lenovo,Yoga 11e,Netbook,11.6,4GB,128GB SSD,Windows 10,1.59,553.0,6.315358001522335,Yoga,0,1366x768,0,1,0,1366,768,1366,13.863431773278407,Intel,Celeron Quad Core N3450,1.1,4,128GB SSD,0,128GB,SSD,Intel,HD
Dell,Inspiron 3552,Notebook,15.6,4GB,500GB HDD,Windows 10,1.8,309.0,5.733341276897745,Inspiron,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3060,1.6,4,500GB HDD,0,500GB,HDD,Intel,HD
Asus,VivoBook E403NA,Notebook,14.0,4GB,32GB Flash Storage,Windows 10,1.5,286.0,5.655991810819852,VivoBook,3,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3350,1.1,4,32GB Flash Storage,0,32GB,Flash Storage,Intel,HD
Acer,Aspire 7,Notebook,15.6,8GB,1TB HDD,Linux,2.4,846.0,6.740519359606223,Aspire,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
HP,Omen 17-w212nv,Gaming,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,3.35,1191.0,7.0825485693553,Omen,5,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,4GB,128GB SSD,No OS,1.85,403.5,6.000176487710004,V310-15ISK,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 6006U,2.0,4,128GB SSD,0,128GB,SSD,Intel,HD
Asus,ROG Strix,Gaming,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2.3,1655.0,7.411556287811163,ROG,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,128GB SSD +,1,128GB,SSD +,Nvidia,GeForce
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,8GB,256GB SSD,Windows 10,1.5,1099.0,7.002155954403621,IdeaPad,3,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
Asus,Zenbook Flip,Ultrabook,13.3,16GB,512GB SSD,Windows 10,1.1,1748.9,7.466742297855145,Zenbook,2,Full HD  1920x1080,1,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7500U,2.7,16,512GB SSD,0,512GB,SSD,Intel,HD
Lenovo,Thinkpad X1,Ultrabook,14.0,8GB,512GB SSD,Windows 10,1.13,2282.0,7.73280753042202,Thinkpad,3,2560x1440,0,1,0,2560,1440,2560,15.120160930043655,Intel,Core i7 7500U,2.7,8,512GB SSD,0,512GB,SSD,Intel,HD
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,4GB,128GB SSD,Windows 10,1.5,549.0,6.3080984415095305,Ideapad,2,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i3 7100U,2.4,4,128GB SSD,0,128GB,SSD,Intel,HD
Dell,Precision 5520,Workstation,15.6,8GB,256GB SSD,Windows 10,2.0,2135.0,7.666221925662724,Precision,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 6820HQ,2.7,8,256GB SSD,0,256GB,SSD,Nvidia,Quadro
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,16GB,512GB SSD,Windows 10,1.42,2509.0,7.827639546366422,ThinkPad,3,2560x1440,1,0,0,2560,1440,2560,15.120160930043655,Intel,Core i7 7500U,2.7,16,512GB SSD,0,512GB,SSD,Intel,HD
Asus,Rog GL753VD-GC042T,Gaming,17.3,8GB,1TB HDD,Windows 10,3.0,1039.0,6.946013991099227,Rog,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
Asus,Rog GL753VE-GC070T,Gaming,17.3,16GB,256GB SSD +  1TB HDD,Windows 10,3.0,1591.0,7.372118028337787,Rog,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,16,256GB SSD +,1,256GB,SSD +,Nvidia,GeForce
Acer,Aspire 5,Notebook,15.6,12GB,1TB HDD,Windows 10,2.2,693.99,6.542457551181088,Aspire,4,1366x768,0,1,0,1366,768,1366,13.863431773278407,Intel,Core i5 8250U,1.6,12,1TB HDD,0,1TB,HDD,Nvidia,GeForce
MSI,Leopard GP72M,Gaming,17.3,8GB,256GB SSD,Windows 10,2.7,1349.0,7.207118856207756,Leopard,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
Dell,Inspiron 5567,Notebook,15.6,8GB,256GB SSD,Linux,2.33,778.87,6.6578441513284545,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7500U,2.7,8,256GB SSD,0,256GB,SSD,AMD,Radeon
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,4GB,256GB SSD,Windows 10,1.91,499.0,6.212606095751519,15-BW004nv,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,AMD,A9-Series 9420,3.0,4,256GB SSD,0,256GB,SSD,AMD,Radeon
Lenovo,ThinkPad E580,Notebook,15.6,8GB,256GB SSD,Windows 10,2.1,1229.56,7.114411660790886,ThinkPad,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,AMD,Radeon
Lenovo,ThinkPad L470,Notebook,14.0,8GB,256GB SSD,Windows 10,1.9,938.0,6.843749949006225,ThinkPad,3,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Dell,Precision M5520,Workstation,15.6,8GB,256GB SSD,Windows 10,1.78,2712.0,7.905441649060286,Precision,4,4K Ultra HD  3840x2160,1,0,0,3840,2160,3840,15.931091146259982,Intel,Core i7 7700HQ,2.8,8,256GB SSD,0,256GB,SSD,Nvidia,Quadro
Lenovo,Thinkpad X1,Ultrabook,14.0,16GB,1TB SSD,Windows 10,1.13,2625.0,7.872836175025724,Thinkpad,3,2560x1440,0,1,0,2560,1440,2560,15.120160930043655,Intel,Core i7 7500U,2.7,16,1TB SSD,0,1TB,SSD,Intel,HD
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4GB,1TB HDD,Windows 10,2.2,306.0,5.723585101952381,IdeaPad,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3350,1.1,4,1TB HDD,0,1TB,HDD,Intel,HD
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,16GB,256GB SSD +  1TB HDD,Windows 10,2.9,1529.0,7.332369205929062,FX753VD-GC461T,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,16,256GB SSD +,1,256GB,SSD +,Nvidia,GeForce
Lenovo,ThinkPad E580,Notebook,15.6,8GB,256GB SSD +  1TB HDD,Windows 10,2.1,1144.5,7.0427231393926215,ThinkPad,4,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD +,1,256GB,SSD +,AMD,Radeon
Acer,Aspire 7,Notebook,15.6,8GB,256GB SSD,Linux,2.5,879.0,6.778784897685177,Aspire,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,256GB SSD,0,256GB,SSD,Nvidia,GeForce
MSI,GE73VR 7RF,Gaming,17.3,16GB,256GB SSD +  1TB HDD,Windows 10,2.8,2249.0,7.718240951959316,GE73VR,5,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,16,256GB SSD +,1,256GB,SSD +,Nvidia,GeForce
Asus,Zenbook 3,Ultrabook,14.0,8GB,512GB SSD,Windows 10,1.1,1873.0,7.5352967024440884,Zenbook,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7500U,2.7,8,512GB SSD,0,512GB,SSD,Intel,HD
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,16GB,512GB SSD,Windows 10,1.2,1747.0,7.465655310134056,Portege,2,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 6500U,2.5,16,512GB SSD,0,512GB,SSD,Intel,HD
Dell,Latitude 7480,Ultrabook,14.0,8GB,512GB SSD,Windows 10,1.36,1680.0,7.426549072397305,Latitude,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7600U,2.8,8,512GB SSD,0,512GB,SSD,Intel,HD
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4GB,500GB HDD,Windows 10,2.2,409.0,6.013715156042801,IdeaPad,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 6006U,2.0,4,500GB HDD,0,500GB,HDD,Intel,HD
Lenovo,Lenovo IdeaPad,Notebook,11.6,2GB,32GB Flash Storage,Windows 10,1.15,304.45,5.718506870054583,Lenovo,0,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Celeron Dual Core N3350,1.1,2,32GB Flash Storage,0,32GB,Flash Storage,Intel,HD
Lenovo,ThinkPad P51,Workstation,15.6,8GB,512GB SSD,Windows 10,2.67,1925.0,7.562681246721884,ThinkPad,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7700HQ,2.8,8,512GB SSD,0,512GB,SSD,Nvidia,Quadro
Lenovo,Thinkpad T470p,Ultrabook,14.0,8GB,512GB SSD,Windows 10,1.7,1943.0,7.571988449377439,Thinkpad,3,Full HD 2560x1440,0,1,0,2560,1440,2560,15.120160930043655,Intel,Core i7 7700HQ,2.8,8,512GB SSD,0,512GB,SSD,Nvidia,GeForce
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,4GB,1TB HDD,Windows 10,2.1,469.0,6.150602768446279,15-BS028nv,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 6006U,2.0,4,1TB HDD,0,1TB,HDD,AMD,Radeon
Acer,Aspire R7,2 in 1 Convertible,13.3,8GB,256GB SSD,Windows 10,1.6,789.01,6.670778995036786,Aspire,2,Full HD  1920x1080,1,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 6500U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Asus,ZenBook Flip,2 in 1 Convertible,13.3,8GB,256GB SSD,Windows 10,1.27,928.0,6.833031732786201,ZenBook,2,Full HD  1920x1080,1,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Dell,Inspiron 3567,Notebook,15.6,4GB,256GB SSD,Linux,2.3,598.9,6.395094639270416,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,4,256GB SSD,0,256GB,SSD,AMD,Radeon
Dell,Latitude 3380,Notebook,13.3,4GB,128GB SSD,Windows 10,1.65,689.0,6.535241271013659,Latitude,2,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i3 6006U,2.0,4,128GB SSD,0,128GB,SSD,Intel,HD
HP,EliteBook 1040,Ultrabook,14.0,8GB,256GB SSD,Windows 10,1.43,1500.0,7.313220387090301,EliteBook,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 6500U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Dell,Inspiron 3567,Notebook,15.6,8GB,1TB HDD,Windows 10,2.14,539.95,6.291476542678769,Inspiron,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i5 7200U,2.5,8,1TB HDD,0,1TB,HDD,Intel,HD
Lenovo,ThinkPad E480,Ultrabook,14.0,8GB,256GB SSD,Windows 10,1.75,1215.38,7.102812064077956,ThinkPad,3,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,8,256GB SSD,0,256GB,SSD,AMD,Radeon
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,16GB,512GB SSD,Windows 10,2.0,1899.0,7.549082710812286,Yoga,4,4K Ultra HD  3840x2160,1,1,0,3840,2160,3840,15.931091146259982,Intel,Core i7 7700HQ,2.8,16,512GB SSD,0,512GB,SSD,Nvidia,GeForce
Other,LapBook 12.3,Notebook,12.3,6GB,64GB Flash Storage,Windows 10,1.4,449.0,6.107022887742254,LapBook,1,Retina Display 2736x1824,0,1,1,2736,1824,2736,15.423039449376716,Intel,Celeron Quad Core N3450,1.1,6,64GB Flash Storage,0,64GB,Flash Storage,Intel,HD
HP,ProBook 650,Notebook,15.6,8GB,256GB SSD,Windows 10,2.31,1427.0,7.2633296174768365,ProBook,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 7820HQ,2.9,8,256GB SSD,0,256GB,SSD,Intel,HD
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,8GB,1TB HDD,Linux,2.3,597.0,6.391917113392602,X542UQ-DM117,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 7100U,2.4,8,1TB HDD,0,1TB,HDD,Nvidia,GeForce
